Date,sp_log_return,vix_log_return,vix_above_40,vix_above_30,vix_above_20,vix_spike,vix_level,sp_return_ma5,sp_return_ma20,sp_vol_20,sp_momentum_10,sp_rsi_14,sp_atr_14,sp_volume_pct_change_1,sp_high_low_range,sp_volume_log_return,imputed_sp_log_return,imputed_vix_log_return,imputed_vix_above_40,imputed_vix_above_30,imputed_vix_above_20,imputed_vix_spike,imputed_vix_level,imputed_sp_return_ma5,imputed_sp_return_ma20,imputed_sp_vol_20,imputed_sp_momentum_10,imputed_sp_rsi_14,imputed_sp_atr_14,imputed_sp_volume_pct_change_1,imputed_sp_high_low_range,imputed_sp_volume_log_return,close_return_target
1990-03-13,-0.7226949041739943,0.700726059338454,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.2030323493129047,-0.3121700186054624,0.2503147073420542,-0.3443958263404432,0.4380274382103843,0.5279238773046524,-0.8524527665593851,0.7075128196582509,-0.2808653604742691,0.2366592565158889,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0025892711821056125
1990-03-14,0.1983048248763896,-1.011588962036596,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,0.0235725956823011,-0.0792026299009958,0.2445332222017671,-0.3449310948357751,0.364683340781572,0.8616927679572866,-0.8605695746198477,-0.0680425709284051,-0.4815342564795042,-0.0026161804758899,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0035622412931546332
1990-03-15,0.2833785020586478,-0.642154823132991,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.084103305394978,-0.3443690579446662,0.2573047535359052,-0.3433953533957853,0.3960036560341048,1.1730180567636963,-0.8668931020123112,-0.0734161979594341,-0.6979879079416129,-0.0044909737657654,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.011358583295465019
1990-03-16,0.962104469487808,-0.960596805264916,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.236643961508974,0.4277290102126695,0.3168958941085706,-0.3166275857368787,0.4874614572850756,1.1242303199574573,-0.8695672773226111,1.4953193595772454,-0.1300868240782485,0.4323605066378704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.004738074639045742
1990-03-19,0.3860799500035705,0.5485321646456056,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.150759617661492,0.5354870078656232,0.5686629359720179,-0.3443604489497921,0.8045608656941154,1.122277726170268,-0.8658863378467346,-1.097508488176225,0.1186192551103316,-0.4470794775778586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.005705444828814854
1990-03-20,-0.5303311689224649,0.6061129059191993,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.0520569120861351,0.6285569721584409,0.7614261114705443,-0.4654457478986132,0.2335385770994313,0.7235920899362661,-0.8649425564479536,0.6473675220373339,-0.1992513245557227,0.2200185033931632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.005357663291867154
1990-03-21,-0.4996589691143351,0.7808844608341571,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.0812562014360485,0.2908661631322111,0.6628512853979226,-0.4377095136839763,0.1561013322987316,0.4127337656996751,-0.8666414589760745,-0.812084110857508,-0.4632049946840614,-0.302835023472646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.011920845085604426
1990-03-22,-1.08030800231377,1.813846059437368,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,3.766113719505385,0.4196660365391643,-0.368916483022917,0.5291576606239152,-0.3622904632981177,-0.5278479473069496,-0.3021371210321511,-0.856165101408344,0.926325511108026,0.6446496438684101,0.2949652022913049,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.004557772850455777
1990-03-23,0.370339557760113,-1.5529351098844657,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1274028415444693,-0.6552258496622365,0.7380970031680687,-0.3823154706667135,-0.1686337573455946,0.0355006153476022,-0.8593112634283497,-0.7776375926676428,-0.7449430110022184,-0.2867541017075794,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0012158343533159588
1990-03-26,0.0780748713528609,-0.638682676640202,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,0.0158815297466597,-0.8042457344889955,0.4548236118084278,-0.4722893470240014,-0.1991446673999029,-0.3516053635118002,-0.8651000133649422,-0.4081321295252065,-0.541773786450734,-0.1287940663760167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.011462236949381088
1990-03-27,0.97109295665318,1.0285700502276278,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1979050535206708,-0.0778224844258597,0.6021702476912174,-0.4188206165761817,0.4068257684167966,0.1530060058377474,-0.8589337508688373,0.3234624914539709,0.0729888765986363,0.1253049851930008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0014641288433381305
1990-03-28,0.0998226514403901,-0.8941446484269321,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,0.038954972048159,0.2122204020167152,0.524577220412217,-0.4255344488926297,0.3715927342586438,-0.121081227562241,-0.8643764796293153,0.1731123668977136,-0.724746489954491,0.0780945006787732,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0035379867107547813
1990-03-29,-0.3393493040447956,-1.0077126688523703,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.1289683049262736,0.5707131267507968,0.3877481051275946,-0.4120046138193194,0.1488053068677091,0.0228250417370811,-0.8679314535716006,-0.2648907188208922,-0.6198743838426464,-0.0736972229670342,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0024942224895175835
1990-03-30,-0.2475279468100332,0.9779319685651332,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,0.0338274317613468,0.2717747301094328,0.1438424885471054,-0.438586642780113,-0.2839534225070799,-0.1667875516790978,-0.867113349675465,0.0950568682407619,-0.3287096332528285,0.052676707622485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.003647673782048444
1990-04-02,-0.3490042089989073,2.1514282644355074,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,3.766113719505385,0.4324846427616171,0.0651441263390553,0.182515189747545,-0.4496491396953227,-0.5469375177970001,0.0230563111649291,-0.866169568276684,-0.369765449939211,-0.1926573153312643,-0.1137364035469374,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01458518530665609
1990-04-03,1.2414731917545485,-1.6318037361255502,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1248393158956411,0.195960253367697,0.2274367016325026,-0.4186254993102531,0.0869441420332031,0.4109698022035055,-0.8587448985787658,0.6322180355468723,0.2517047002700431,0.2157829793318484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.007420609364004571
1990-04-04,-0.6817552623889261,1.1010636906780047,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.328654396899448,-0.1821849746662405,0.1255410942475346,-0.386769949287809,0.0217972763907007,-0.0059143407374235,-0.8534595307249615,0.0367776099771591,-0.1655809385699582,0.0332684260177451,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0010553969785905837
1990-04-05,-0.1211098973985515,-0.5575479868619483,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.2235420214709979,-0.0765957701454772,-0.1179965803449161,-0.4392964532684492,0.3649604948271414,-0.4538620173979303,-0.8585561422990095,-0.3374801728306049,-0.6454079239735436,-0.1012388328212523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0019077404194037806
1990-04-06,-0.1959764731000697,0.3762809084964216,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.2940442334471994,-0.0516539909106601,-0.0060785314506548,-0.4677737416707066,0.1623549738129937,-0.7309428332719228,-0.8643763836189999,-0.1938052253495652,-0.4608824761023912,-0.047441971297669,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0037932503994844158
1990-04-09,0.3035651501736153,0.3602965884921121,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.3632643158571191,0.2640739547822163,0.0297680006479335,-0.4625029274629876,0.2430264945444696,-0.3418315223046494,-0.8696303560997217,-0.5316721382050527,-0.733182180839543,-0.1788799609988274,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0020505967631716526
1990-04-10,0.1511691857467855,-0.4076670174642897,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.2850712824398554,-0.2634400008746206,0.2531872792799097,-0.5080297710064594,-0.050309864915551,-0.0162887287607048,-0.8727449307260147,0.4661263619554872,-0.7855658714806737,0.1681307076357825,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0004384888861133085
1990-04-11,-0.0669628972320545,-2.9630814213604446,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.2225437147093961,0.0340105731529087,0.1853667522650178,-0.5090317486010297,-0.1099791505175932,0.6496231573613197,-0.8866190933499873,0.0464781709123505,-0.8013012579312276,0.0365251713566756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007077628729292629
1990-04-12,0.5900678907119522,1.6230352441442573,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,3.766113719505385,0.0428003827686904,0.3780946140390068,0.2637774831410454,-0.4888163462054192,0.2225296338394029,0.7369466677182143,-0.8835044227133794,-0.0321866365495939,-0.4434125662514253,0.0098043457921335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001161624849678633
1990-04-16,0.073326016625307,0.688820023000335,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1645767751401244,0.5083893032637448,0.0365450758450949,-0.563526651817264,0.3373185165283355,0.7351340865568735,-0.8813651208692657,-0.0536625221821598,-0.3430424997710504,0.0023836242189894,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0001740371302817456
1990-04-17,-0.0437617803675089,-0.2644610852654284,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1171480054654227,0.3403446092826868,-0.0733517953424292,-0.5769884570109154,0.4465222083160342,0.2544162069049195,-0.8855808378010127,-0.359028879025018,-0.3650519835166135,-0.1095629387863397,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01148889270983311
1990-04-18,-1.0419744890932543,1.5651927233428495,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,3.766113719505385,0.4106930855318208,-0.2369255246558314,-0.2041627335969006,-0.5089586585089468,-0.3704052348008585,-0.5100628637349566,-0.8753875186426013,0.3696262126471578,0.3168136071802415,0.1393644128257527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.007718962413095665
1990-04-19,-0.7081222133622261,-0.1367961529982086,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.3837739880152123,-0.5471330311809895,-0.2574601607235463,-0.4893657078116767,-0.3798382890468875,-0.6998678016876662,-0.8727763260990969,0.0528653606215161,-0.3457089851141195,0.0386637503924056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.008784646848097988
1990-04-20,-0.8023668514674689,0.5585906426372355,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.4952955443075993,-1.220824730737897,-0.1863994407094634,-0.5317738658692053,-0.6235651351931898,-0.9432833057874824,-0.8667674245096656,0.3406679310300856,0.3089153155568072,0.1305681356427221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01214492535068079
1990-04-23,-1.1002005555018486,0.5138212703148219,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.601689560313175,-1.788603662778982,-0.5623698176752414,-0.4597788030371894,-0.947060818425548,-1.2114242001027469,-0.8623000645416816,-0.6895965434781787,0.3029978434484242,-0.2467912160770815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.002084284751092569
1990-04-24,-0.2114914419659092,-1.578397080385583,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.2863531675115585,-1.8697551001608648,-0.6364027223156704,-0.462130290974773,-1.1313277356867395,-2.143081312663876,-0.8679629449549984,-0.03496330365402,-0.2790317758528735,0.0088479974047501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.005055132285337605
1990-04-25,0.4137523140267582,-0.5802766892187644,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1786772664342797,-1.1654412573810815,-0.7788970137782771,-0.5400386152243735,-1.03738585762639,-1.6104984400818307,-0.8721786618867458,-0.1417781014654063,-0.5740898774875004,-0.0286535624944299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0026805248071246623
1990-04-26,0.2062872842111162,-0.4362315308838485,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.1004839885224387,-0.7230290783033314,-0.7516773903519269,-0.5344365289089633,-0.9396277290167968,-1.404105172360489,-0.8694415998199656,0.1086380352307364,-0.3431307076636496,0.0571459270807679,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.011444274668092058
1990-04-27,-1.0380158258713643,1.344696150266078,-0.1532495515609949,-0.2971711151757822,1.2916865177012895,-0.2654962674324945,0.3491640690575412,-0.8370414289406918,-0.9303042181518366,-0.4725804375953926,-1.5220918156363954,-1.660795082231212,-0.8629292201374307,-0.2783014618067413,0.2563429778508087,-0.0787286813020173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.005135068872495374
1990-04-30,0.420727693711461,-1.884357904230153,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,0.0069085787393162,-0.1011816388345658,-0.7594524863217801,-0.4453545273622709,-1.3978052089508672,-1.5838852027762087,-0.8578954953198631,-0.2340435339997365,-0.1846714238093917,-0.0622191323324123,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.004383350243467143
1990-05-01,0.3551097308775716,-0.8445665989801986,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.1328137156468049,0.172952936769607,-0.5794329268314906,-0.4303979678800331,-1.255104727329746,-1.4561387713425815,-0.8571404702008382,0.555069120385409,-0.6897290517812681,0.1939307570148223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006711846459979354
1990-05-02,0.5582062607714093,0.693180670564149,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.0187286337055892,0.2428430522214716,-0.7541225686122579,-0.5475509934357291,-0.6826232207569917,-1.1150681374110496,-0.8552842067660434,-0.2035583597731037,-0.5961594796739856,-0.0510037245394769,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003258778707512011
1990-05-03,0.2568534700231291,-1.1961633139137025,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.2122888786303495,0.2673081266898705,-0.5141501423140383,-0.5623334198629019,-0.3373930128087686,-1.2959770897024474,-0.8563224623150177,0.0197073016731285,-0.526997444408864,0.0275115723173655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00840363340783945
1990-05-04,0.7054731909940154,-0.4440448310880944,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.2802270759685665,1.1108478943722042,-0.3028191133037949,-0.508939669404657,0.2020526337234013,-0.9658203686570396,-0.8560393278953834,-0.1595311527620583,-0.2949439302282119,-0.0350250751465317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006324016780112851
1990-05-07,0.5244115342622947,0.3113916636867234,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.2327985507884427,1.161012502192854,-0.1186387919055131,-0.4841887720643492,0.7832747093065178,-0.7127582308139807,-0.8565741053512544,-0.2199548538427288,-0.4075078165148508,-0.0570203100832849,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.004346198548244029
1990-05-08,0.3518654640318337,0.6833805355647992,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.1251226497111644,1.1594428518682005,-0.106289936512131,-0.481395932265346,0.9848215722537378,-0.1837332404836969,-0.8671449370691784,0.1879884469061253,-0.763106300110712,0.0828662601446268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002485235992127688
1990-05-09,0.189203404986395,0.1187527363358124,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.1058948626247738,0.9809108506728969,-0.0965657952825557,-0.4802045198582736,0.9044868364699412,0.2088887270027656,-0.8701337381825105,0.098821620173132,-0.6625831731553857,0.0539175948798948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0028000408728707793
1990-05-10,0.2167409168110475,-0.0394847726294555,-0.1532495515609949,-0.2971711151757822,-0.7740958208919075,-0.2654962674324945,-0.1123040434887117,0.961503482177683,-0.0240317454117156,-0.4761729250598678,0.9082267335662364,0.7202905031756789,-0.8792572143982345,0.0573882354475023,-0.654978738218838,0.040175352439153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0237914970086881
