Date,regime,ma_20,ma_50
1990-03-13,0,332.8370025634766,335.75500122070315
1990-03-14,0,333.12950286865237,335.29860107421877
1990-03-15,0,333.43250274658203,334.88480102539063
1990-03-16,0,333.78350219726565,334.60960083007814
1990-03-19,0,334.3240020751953,334.43620056152344
1990-03-20,1,335.0030029296875,334.1918005371094
1990-03-21,1,335.6065017700195,333.99420043945315
1990-03-22,1,336.10600128173826,333.76180053710937
1990-03-23,1,336.7595016479492,333.5356005859375
1990-03-26,1,337.20750122070314,333.48960083007813
1990-03-27,1,337.7695007324219,333.5796008300781
1990-03-28,1,338.275,333.60460083007814
1990-03-29,1,338.67750091552733,333.6724011230469
1990-03-30,1,338.8975006103516,333.70740112304685
1990-04-02,1,339.1455017089844,333.69840148925783
1990-04-03,1,339.4310028076172,333.96360168457034
1990-04-04,1,339.6380020141602,334.15320190429685
1990-04-05,1,339.66100311279297,334.36260192871094
1990-04-06,1,339.7685028076172,334.6426019287109
1990-04-09,1,339.9035018920898,334.9540020751953
1990-04-10,1,340.2070022583008,335.29140197753907
1990-04-11,1,340.4595031738281,335.6702020263672
1990-04-12,1,340.7730026245117,335.9754022216797
1990-04-16,1,340.914501953125,336.2944018554688
1990-04-17,1,340.97200164794924,336.56960144042966
1990-04-18,1,340.92950134277345,336.74700134277344
1990-04-19,1,340.84700164794924,336.91560119628906
1990-04-20,1,340.8185012817383,336.9430010986328
1990-04-23,1,340.51000061035154,336.9048010253906
1990-04-24,1,340.14649963378906,336.8396008300781
1990-04-25,1,339.6729995727539,336.87860107421875
1990-04-26,1,339.2190002441406,336.9166015625
1990-04-27,1,338.63499908447267,336.85860107421877
1990-04-30,1,338.1779983520508,336.77680053710935
1990-05-01,1,337.8554977416992,336.7674005126953
1990-05-02,1,337.3974975585937,336.8972009277344
1990-05-03,1,337.12149810791016,337.0552008056641
1990-05-04,0,337.00449829101564,337.3090008544922
1990-05-07,0,337.02699890136716,337.63660095214846
1990-05-08,0,337.0589996337891,337.90340087890627
1990-05-09,0,337.09849853515624,338.155400390625
1990-05-10,0,337.1934982299805,338.3940002441406
1990-05-11,0,337.5764984130859,338.7792004394531
1990-05-14,0,338.0769989013672,339.1634002685547
1990-05-15,0,338.55699920654297,339.57420043945314
1990-05-16,0,339.2209991455078,339.8956005859375
1990-05-17,0,340.0399993896484,340.2460003662109
1990-05-18,1,341.01600036621096,340.53340087890626
1990-05-21,1,342.3635009765625,340.93480102539064
1990-05-22,1,343.7670013427734,341.3300006103516
1990-05-23,1,345.1300018310547,341.79580078125
1990-05-24,1,346.4045013427734,342.22660095214843
1990-05-25,1,347.6780014038086,342.5568005371094
1990-05-29,1,349.1705017089844,342.93160034179687
1990-05-30,1,350.6010009765625,343.2782000732422
1990-05-31,1,351.9385009765625,343.67140014648436
1990-06-01,1,353.31800079345703,344.1398004150391
1990-06-04,1,354.76849975585935,344.7740002441406
1990-06-05,1,356.0740005493164,345.36240051269533
1990-06-06,1,357.22149963378905,345.9090002441406
1990-06-07,1,358.23600006103516,346.3420001220703
1990-06-08,1,358.9804992675781,346.6761999511719
1990-06-11,1,359.4619995117188,347.0929998779297
1990-06-12,1,360.03699951171876,347.61919982910155
1990-06-13,1,360.5679992675781,348.1431994628906
1990-06-14,1,361.0129989624023,348.52839904785156
1990-06-15,1,361.4349990844727,348.9647991943359
1990-06-18,1,361.54699859619143,349.2877990722656
1990-06-19,1,361.57049865722655,349.65559936523437
1990-06-20,1,361.60399932861327,350.01019958496096
1990-06-21,1,361.66299896240236,350.3781994628906
1990-06-22,1,361.5139984130859,350.64839904785157
1990-06-25,1,361.40049896240237,350.80779907226565
1990-06-26,1,360.9709991455078,350.95419921875
1990-06-27,1,360.68500061035155,351.1633996582031
1990-06-28,1,360.50500030517577,351.5015997314453
