Date,sp_log_return,vix_log_return,sp_return_ma5,sp_return_ma20,sp_vol_20,sp_momentum_10,sp_rsi_14,sp_atr_14,sp_volume_pct_change_1,sp_high_low_range,sp_volume_log_return,imputed_sp_log_return,imputed_vix_log_return,imputed_sp_return_ma5,imputed_sp_return_ma20,imputed_sp_vol_20,imputed_sp_momentum_10,imputed_sp_rsi_14,imputed_sp_atr_14,imputed_sp_volume_pct_change_1,imputed_sp_high_low_range,imputed_sp_volume_log_return
02-01-1990,0.023604835,-0.060868166,0.069540904,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,-0.061546286,0.985019066,-0.000351103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
03-01-1990,-0.255557384,0.788407134,0.069540904,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,0.476533961,-0.534986134,0.171184305,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
04-01-1990,-0.78717939,0.809566437,0.069540904,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,-0.289799858,0.446152027,-0.083062914,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
05-01-1990,-0.888378599,0.665325086,0.069540904,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,-0.360685823,-0.017007517,-0.110205882,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
08-01-1990,0.366558774,0.109221374,0.069540904,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,-0.394749465,-0.214548005,-0.123516021,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
09-01-1990,-1.068400715,1.344061855,-1.2740733,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,0.249475401,0.067907031,0.10235121,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10-01-1990,-0.6099075,0.158041815,-1.445515971,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,0.324581506,0.31021372,0.125648136,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
11-01-1990,0.279050106,-1.655267918,-0.929649813,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,-0.41356644,-0.470074141,-0.130945306,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
12-01-1990,-2.219797385,3.029928833,-1.573820601,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,0.488903672,1.548756451,0.174801501,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
15-01-1990,-0.787746506,0.980628676,-2.132299834,0.124910859,-0.242611144,0.096342461,0.018316342,-0.300665067,-0.737716954,-0.264614121,-0.268435516,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
16-01-1990,0.942070772,-1.257633005,-1.159587855,0.124910859,-0.242611144,-1.799971673,0.018316342,-0.300665067,0.869987934,1.009390837,0.280275092,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
17-01-1990,-0.895024686,-0.012168364,-1.297534056,0.124910859,-0.242611144,-2.028747831,0.018316342,-0.300665067,-0.301687266,0.504949047,-0.087563618,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
18-01-1990,0.176623732,0.10909572,-1.347090272,0.124910859,-0.242611144,-1.683937119,0.018316342,-0.300665067,0.076487068,0.064367133,0.046533347,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
